Payments to suppliers over £500 - March 2020,,,,,,,,,
,,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Nominal,NominalDesc,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,Licensing,520070,Licences - Taxi,1117,Licences - Taxi               ,04/03/2020,7705,820,REDACTED PERSONAL DATA
Norwich City Council,Rough Sleepers,410031,Homelessness,2590,Homelessness                  ,06/03/2020,7711,589,ANGLIAN CARPETS LTD                     
Norwich City Council,HRA Repairs,730020,Major & Minor Repairs,2142,Major & Minor Repairs         ,06/03/2020,7534,"1,850.00",ANDERSON & THOMAS ROOFING               
Norwich City Council,Customer Contact Team,550010,Other Contractual Services,2849,Other Contractual Services    ,06/03/2020,7879,"1,114.80",TALKTALK BUSINESS                       
Norwich City Council,Open Spaces,160000,New Tree Planting,2242,New Tree Planting             ,06/03/2020,7536,"5,891.67",CITY COLLEGE NORWICH                    
Norwich City Council,Economic Development Unit,610010,Projects,2832,Projects                      ,06/03/2020,6672,"7,000.00",NEW ANGLIA LEP                          
Norwich City Council,City Hall,290000,Day to Day Reps (ES/Prop Grp),2171,Day to Day Reps (ES/Prop Grp) ,06/03/2020,7888,764,INTEGRATED WATER SERVICES LTD           
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,06/03/2020,7784,533.51,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,06/03/2020,7782,582.88,REDACTED PERSONAL DATA
Norwich City Council,Balance Sheet,999999,Rents Overpayment Refunds,7229,Rents Overpayment Refunds     ,06/03/2020,7866,748.58,REDACTED PERSONAL DATA
Norwich City Council,Balance Sheet,999999,Rents Overpayment Refunds,7229,Rents Overpayment Refunds     ,06/03/2020,7873,504.08,REDACTED PERSONAL DATA
Norwich City Council,Balance Sheet,999999,Rents Overpayment Refunds,7229,Rents Overpayment Refunds     ,06/03/2020,7933,797.62,REDACTED PERSONAL DATA
