Payments to suppliers over £500 - April 2020,,,,,,,,,
,,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Nominal,NominalDesc,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,Arboricultural services,421010,Other Contractual Services,2849,Other Contractual Services    ,02/04/2020,8686,892.8,A T COOMBES ASSOCIATES LTD              
Norwich City Council,Innovation & Improvement Team,710150,DPP Printing Costs,2802,DPP Printing Costs            ,02/04/2020,9615,"1,338.00",ALPHAPRINT LTD                          
Norwich City Council,HRA Capital Expenditure,983000,Disabled Adaptations,5190, Disabled Adaptations         ,02/04/2020,5781,"5,856.45",ALPHATRACK SYSTEMS LTD                  
Norwich City Council,HRA Capital Expenditure,983000,Doors,5151, Doors                        ,02/04/2020,9363,"15,651.83",ANGLIAN WINDOWS LTD                     
Norwich City Council,Development Management,620060,Advertising General,2623,Advertising General           ,02/04/2020,8243,947.86,ARCHANT REGIONAL LTD                    
Norwich City Council,HRA Capital Expenditure,983000,Structural,5181, Structural                   ,02/04/2020,9328,"53,296.50",ASPECT GROUP SERVICES LTD               
Norwich City Council,HRA Capital Expenditure,983000,New Constructn/Convrsn/Renovtn,5100,New Constructn/Convrsn/Renovtn,02/04/2020,8993,"2,531.00",AVISON YOUNG (GVA GRIMLEY LTD)          
Norwich City Council,Community Enabling,420140,Projects,2832,Projects                      ,02/04/2020,9653,"1,156.00",BIG FORK LTD                            
Norwich City Council,Investment Properties,220000,Professional Advice/Fees,2850,Professional Advice/Fees      ,02/04/2020,9793,"1,006.00",BIRKETTS LLP                            
Norwich City Council,Rough Sleepers,410031,Homelessness,2590,Homelessness                  ,02/04/2020,8769,"3,000.00",BROADLAND HOUSING ASSOCIATION LTD       
Norwich City Council,Policy & Performance,321050,Subscriptions,2723,Subscriptions                 ,02/04/2020,9719,"2,373.08",CACI LIMITED                            
Norwich City Council,Balance Sheet,999999,s106 - Playspace Mtce,8104,s106 - Playspace Mtce         ,02/04/2020,8965,"8,300.00",CALOO LTD                               
Norwich City Council,Investment Properties,220000,Fire Insurance Buildings/Conts,2255,Fire Insurance Buildings/Conts,02/04/2020,5734,"9,713.94",CARTER JONAS LLP                        
Norwich City Council,GF Capital Expenditure,981000,Acquisition Land/Exstng Bldgs,5000,Acquisition Land/Exstng Bldgs ,02/04/2020,9654,"66,930.00",CARTER JONAS LLP                        
Norwich City Council,Integrated Waste Management,431080,Promotions & Publicity,2624,Promotions & Publicity        ,02/04/2020,9732,"1,113.60",D LEMMON GROUNDWORKS                    
Norwich City Council,Head of Neighbourhood Housing,710020,Training Initiatives,2021,Training Initiatives          ,02/04/2020,8215,"3,200.95",EAST OF ENGLAND LOCAL GOVERNMENT ASSOC  
Norwich City Council,Head of Neighbourhood Housing,710020,Training Initiatives,2021,Training Initiatives          ,02/04/2020,8665,"13,545.17",EAST OF ENGLAND LOCAL GOVERNMENT ASSOC  
Norwich City Council,HRA Capital Expenditure,983000,Heating & Boilers - Domestic,5131, Heating/Boilers Domestic     ,02/04/2020,8956,"3,183.00",GASWAY SERVICES LTD                     
Norwich City Council,HRA Repairs,730020,Gas Cent Heating Repairs C Wks,2143,Gas Cent Heating Repairs C Wks,02/04/2020,9621,"105,131.69",GASWAY SERVICES LTD                     
Norwich City Council,Communications Team,310020,Council Newspaper,2625,Council Newspaper             ,02/04/2020,7626,"7,000.36",GD MEDIA LTD                            
Norwich City Council, IT Services,321020,Shared Services LGSS External,3061,Shared Services LGSS External ,02/04/2020,8987,759,GMO GLOBALSIGN LTD                      
Norwich City Council,Investment Properties,220000,Professional Advice/Fees,2850,Professional Advice/Fees      ,02/04/2020,7834,900,HARRISON GROUP ENVIRONMENTAL LTD        
