Payments to suppliers over £500 - January 2020,,,,,,,,,
,,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Nominal,NominalDesc,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,31/01/2020,5122,502.96,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,31/01/2020,5111,502.96,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,10/01/2020,3740,505.81,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,10/01/2020,3736,505.81,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,31/01/2020,5141,505.81,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,31/01/2020,5145,505.81,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,31/01/2020,5146,505.81,REDACTED PERSONAL DATA
Norwich City Council,HRA Repairs,730020,Security Imps Elderly/Disabled,2160,Security Imps Elderly/Disabled,17/01/2020,2366,506.8,NORSE COMMERCIAL SERVICES LTD           
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,10/01/2020,3746,506.86,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,10/01/2020,3734,506.86,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,31/01/2020,5080,506.86,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,31/01/2020,5088,507.73,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,31/01/2020,5063,507.73,REDACTED PERSONAL DATA
Norwich City Council,Street Cleansing,431020,Other Contractual Services,2849,Other Contractual Services    ,17/01/2020,3648,511.66,NORWICH NORSE (ENVIRONMENTAL) LTD       
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,24/01/2020,4681,512.31,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,31/01/2020,5085,520.18,REDACTED PERSONAL DATA
Norwich City Council,Customer Contact Team,550010,Agency Staff,2050,Agency Staff                  ,31/01/2020,5296,520.22,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,10/01/2020,3763,520.4,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,10/01/2020,3723,520.4,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,31/01/2020,5156,520.4,REDACTED PERSONAL DATA
Norwich City Council,Private Sector Leasing Scheme,410040,Rents General,2270,Rents General                 ,31/01/2020,5074,520.4,REDACTED PERSONAL DATA
